"","Category","C1_N","C1_prop","C2_N","C2_prop","C3_N","C3_prop","n_C1","C1","n_C2","C2","n_C3","C3","n_C4","C4"
"1","Female",918,0.644,78,0.417,240,0.805,NA,NA,NA,NA,NA,NA,NA,NA
"2","Male",501,0.352,107,0.572,47,0.158,NA,NA,NA,NA,NA,NA,NA,NA
"3","Other gender",4,0.003,0,0,8,0.027,NA,NA,NA,NA,NA,NA,NA,NA
"4","Prefer not to say",2,0.001,2,0.011,3,0.01,NA,NA,NA,NA,NA,NA,NA,NA
"5","Asian or Asian British",179,0.13,8,0.044,28,0.1,NA,NA,NA,NA,NA,NA,NA,NA
"6","Black, Black British, Caribbean or African",45,0.033,2,0.011,5,0.018,NA,NA,NA,NA,NA,NA,NA,NA
"7","Mixed or multiple ethnic groups",34,0.025,4,0.022,8,0.028,NA,NA,NA,NA,NA,NA,NA,NA
"8","Other Ethnic Group",7,0.005,0,0,2,0.007,NA,NA,NA,NA,NA,NA,NA,NA
"9","White",1113,0.808,167,0.923,238,0.847,NA,NA,NA,NA,NA,NA,NA,NA
"10","SES PC1",NA,NA,NA,NA,NA,NA,1425,0.079,187,-0.294,298,-0.228,2058,0.004
