"","Category","C1_N","C1_prop","C2_N","C2_prop","n_C1","C1","n_C2","C2"
"1","Female",1748,0.518,411,0.693,NA,NA,NA,NA
"2","Male",1606,0.476,156,0.263,NA,NA,NA,NA
"3","Other gender",11,0.003,17,0.029,NA,NA,NA,NA
"4","Prefer not to say",10,0.003,9,0.015,NA,NA,NA,NA
"5","Asian or Asian British",375,0.115,42,0.075,NA,NA,NA,NA
"6","Black, Black British, Caribbean or African",109,0.033,6,0.011,NA,NA,NA,NA
"7","Mixed or multiple ethnic groups",77,0.024,21,0.038,NA,NA,NA,NA
"8","Other Ethnic Group",19,0.006,3,0.005,NA,NA,NA,NA
"9","White",2683,0.822,486,0.871,NA,NA,NA,NA
"10","SES PC1",NA,NA,NA,NA,3375,0.05,593,-0.288
